Screen Resolution	OS	Traffic Source	Combination Id	Converted	User Language	Country
Extra Large	Linux	direct_traffic	1	No	en-us	India
Extra Small	Android	search_traffic	1	No	en-gb	South Africa
Extra Small	Android	search_traffic	2	No	en-us	United Kingdom
Extra Large	Mac OS X	direct_traffic	1	No	pl-pl	Poland
Extra Large	Linux	search_traffic	1	No	en-us	Italy
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Small	Android	direct_traffic	1	No	en	South Africa
Extra Large	Windows New	search_traffic	1	No	en-us	Nigeria
Extra Small	Android	direct_traffic	2	No	en	Europe
Extra Small	iOS	search_traffic	1	No	en-us	India
Extra Large	Windows New	direct_traffic	2	No	es	Spain
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	iOS	search_traffic	1	No	en-us	India
Extra Large	Mac OS X	unknown	1	No	en-us	Switzerland
Extra Large	Windows New	unknown	2	No	en-us	United Arab Emirates
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	unknown	2	No	pt-br	Brazil
Extra Large	Mac OS X	unknown	1	No	it-it	Italy
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	1	No	fi	Finland
Extra Large	Windows New	search_traffic	2	No	it	Italy
Extra Large	Mac OS X	unknown	2	No	en-gb	Netherlands
Extra Large	Windows New	search_traffic	1	No	en-us	Nepal
Medium	iOS	search_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	Botswana
Extra Small	iOS	search_traffic	2	No	en-us	Lithuania
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	iOS	search_traffic	1	No	en-us	Macau
Large	Windows New	unknown	1	No	en-us	United Kingdom
Extra Small	iOS	search_traffic	1	No	en-sg	United Kingdom
Medium	iOS	search_traffic	2	No	en-us	Virgin Islands, U.S.
Extra Large	Windows New	search_traffic	1	No	en-us	Pakistan
Extra Large	Windows New	unknown	1	No	fr-fr	Algeria
Extra Large	Mac OS X	search_traffic	2	No	en-gb	Pakistan
Extra Small	Android	search_traffic	2	No	en-us	Bhutan
Extra Large	Mac OS X	search_traffic	1	No	en-ca	Canada
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Large	Windows New	unknown	2	No	es	Spain
Extra Small	Android	search_traffic	2	No	en-gb	India
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	Botswana
Extra Small	Android	direct_traffic	1	No	en-us	Brazil
Extra Large	Windows New	search_traffic	1	No	en-us	Pakistan
Extra Small	Android	search_traffic	2	No	en-us	Indonesia
Extra Large	Windows New	search_traffic	1	No	en	India
Extra Small	Android	unknown	1	No	en-us	India
Extra Small	Android	search_traffic	2	No	en-gb	Montenegro
Extra Large	Windows New	search_traffic	1	No	en-gb	Bangladesh
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	bg	Bulgaria
Extra Large	Windows New	search_traffic	1	No	en-gb	United Kingdom
Extra Small	Android	search_traffic	2	No	en-gb	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Chrome OS	search_traffic	1	No	en-us	United States
Extra Large	Windows New	unknown	2	No	en-us	Lebanon
Extra Small	iOS	search_traffic	2	No	en-au	Germany
Extra Large	Windows New	search_traffic	1	No	en-gb	India
Extra Small	Android	search_traffic	1	No	en-us	India
Medium	Linux	direct_traffic	1	No	en-us	United States
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-gb	United Kingdom
Extra Large	Mac OS X	unknown	2	No	en-gb	Australia
Extra Large	Windows New	direct_traffic	2	No	en-us	United Kingdom
Extra Large	Windows New	unknown	2	No	en-us	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	direct_traffic	1	No	en-us	India
Extra Small	Android	unknown	2	No	en-us	United States
Extra Small	iOS	search_traffic	2	No	en-us	Nigeria
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Android	unknown	2	No	en-gb	Canada
Extra Large	Windows New	direct_traffic	1	No	zh-cn	China
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-gb	India
Extra Large	Mac OS X	unknown	1	No	en-us	Canada
Extra Large	Windows New	search_traffic	1	No	en-us	United States
Extra Small	Other	search_traffic	1	No	en	Europe
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	iOS	unknown	2	No	en-us	Nigeria
Extra Small	iOS	search_traffic	2	No	ru-ru	Azerbaijan
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
Small	Android	search_traffic	1	No	en-gb	Russian Federation
Extra Large	Windows New	direct_traffic	1	No	en-us	Jamaica
Extra Large	Mac OS X	search_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	2	No	en-gb	India
Extra Large	Windows New	search_traffic	2	No	en-us	Indonesia
Extra Large	Windows New	unknown	1	No	en-us	Ethiopia
Extra Small	Android	search_traffic	2	No	en-us	Nigeria
Extra Large	Windows New	search_traffic	2	No	en-us	Canada
Extra Small	Android	direct_traffic	1	No	en-gb	Qatar
Small	Android	unknown	2	No	en-us	Ukraine
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Small	Android	search_traffic	1	No	en-us	Jamaica
Extra Small	Android	search_traffic	2	No	en-gb	Bahrain
Extra Large	Windows New	unknown	2	No	fr-fr	Switzerland
Extra Small	Android	search_traffic	1	No	en-gb	India
Extra Small	Android	search_traffic	1	No	en-gb	United Kingdom
Extra Large	Windows New	unknown	2	No	cs-cz	Czech Republic
Extra Large	Windows New	search_traffic	2	No	en-au	Australia
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	1	No	en	Europe
Extra Large	Mac OS X	search_traffic	1	No	en-us	Netherlands
Extra Small	Android	direct_traffic	2	No	en-us	Brazil
Extra Large	Mac OS X	search_traffic	1	No	en-us	Germany
Extra Small	Android	search_traffic	2	No	en-us	Philippines
Extra Small	Android	direct_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-gb	United Kingdom
Extra Small	iOS	unknown	2	No	en-us	Puerto Rico
Extra Large	Windows New	direct_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	Android	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	Nepal
Extra Large	Mac OS X	search_traffic	1	No	en-sg	Singapore
Extra Large	Windows New	unknown	2	No	en-us	Ghana
Extra Large	Mac OS X	search_traffic	2	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-us	Israel
Extra Large	Linux	direct_traffic	2	No	en-us	United States
Extra Small	Android	unknown	1	No	en-gb	India
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
Extra Large	Windows New	unknown	2	No	en-us	Germany
Extra Small	Android	search_traffic	1	No	en-gb	India
Extra Large	Linux	unknown	1	No	en-us	India
Extra Large	Mac OS X	direct_traffic	2	No	en-us	Korea, Republic of
Extra Large	Windows New	search_traffic	2	No	zh-cn	United Kingdom
Extra Small	Android	search_traffic	1	No	de	Germany
Extra Large	Mac OS X	search_traffic	2	No	en-us	United Arab Emirates
Extra Small	Android	search_traffic	1	No	it-it	Czech Republic
Extra Small	iOS	unknown	1	No	en-us	United States
Extra Large	Other	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	unknown	1	No	en-gb	Pakistan
Extra Large	Windows New	search_traffic	1	No	it-it	Italy
Extra Large	Windows New	search_traffic	2	No	en-us	Canada
Extra Large	Windows New	unknown	2	No	en-gb	India
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	Albania
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	1	No	fr-fr	Spain
Small	Android	unknown	1	No	en-us	Nigeria
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Mac OS X	search_traffic	1	No	en-us	Italy
Extra Small	Android	search_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-us	Nigeria
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Mac OS X	unknown	1	No	en-gb	Finland
Extra Small	iOS	search_traffic	1	No	en-us	Philippines
Extra Small	iOS	search_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-us	United Kingdom
Extra Large	Windows New	search_traffic	1	No	en-us	Thailand
Extra Large	Windows New	search_traffic	2	No	en-us	United Kingdom
Extra Small	iOS	unknown	1	No	en-gb	Nigeria
Extra Large	Windows New	search_traffic	2	No	de	Germany
Extra Large	Mac OS X	search_traffic	2	No	bg-bg	Bulgaria
Extra Small	Android	unknown	2	No	en-gb	Poland
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	1	No	en-us	Norway
Extra Large	Windows New	search_traffic	2	No	en-us	India
Extra Small	iOS	unknown	1	No	en-us	Netherlands
Extra Large	Windows New	search_traffic	1	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	ja-jp	Japan
Extra Small	Android	direct_traffic	2	No	en	South Africa
Extra Large	Windows New	search_traffic	2	No	en-us	Canada
Extra Large	Windows New	unknown	2	No	en-us	Bangladesh
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	Cyprus
Extra Large	Mac OS X	unknown	2	No	en-ie	Ireland
Extra Large	Windows New	search_traffic	2	No	de	Austria
Extra Small	iOS	search_traffic	1	No	en-ca	Canada
Extra Large	Windows New	unknown	1	No	en-us	France
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-us	Israel
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Small	Android	direct_traffic	2	No	en-us	United States
Extra Large	Windows New	search_traffic	1	No	en-gb	Egypt
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Large	Windows New	search_traffic	2	No	en-gb	India
Extra Large	Windows New	search_traffic	2	No	en-us	Jordan
Extra Large	Windows New	search_traffic	2	No	en-us	Australia
Extra Small	Android	social_traffic	1	No	en-us	India
Extra Small	iOS	search_traffic	1	No	en-us	United States
Medium	iOS	search_traffic	1	No	en-gb	Cyprus
Extra Small	Android	search_traffic	2	No	en-us	Nigeria
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Large	Windows New	search_traffic	2	No	en-us	Pakistan
Extra Large	Windows New	search_traffic	1	No	nl-nl	Netherlands
Extra Small	iOS	search_traffic	1	No	en-au	Australia
Extra Large	Windows New	search_traffic	2	No	en-us	Morocco
Extra Large	Windows New	unknown	2	No	en-us	Qatar
Extra Large	Windows New	unknown	2	No	en-us	Nepal
Extra Large	Windows New	unknown	1	No	en-gb	United Kingdom
Extra Large	Mac OS X	unknown	2	No	ar	Saudi Arabia
Extra Small	Android	unknown	1	No	en-us	Malaysia
Extra Large	Windows New	search_traffic	1	No	en-us	Pakistan
Extra Large	Mac OS X	search_traffic	1	No	en-us	Ukraine
Extra Large	Windows New	search_traffic	1	No	en-us	Kenya
Extra Small	Android	unknown	1	No	en-gb	Pakistan
Extra Small	Android	unknown	1	No	it-it	Italy
Extra Large	Windows New	unknown	1	No	en-us	United States
Extra Small	iOS	search_traffic	2	No	en-au	Canada
Extra Large	Windows New	search_traffic	2	No	en-au	Australia
Extra Small	Android	search_traffic	1	No	en-gb	Cameroon
Extra Small	Android	search_traffic	2	No	en-gb	Portugal
Extra Small	iOS	search_traffic	1	No	en-gb	Thailand
Extra Small	Android	unknown	1	No	en-gb	France
Extra Small	Android	search_traffic	1	No	el-gr	Greece
Extra Small	Android	search_traffic	2	No	en-us	United Kingdom
Extra Small	iOS	search_traffic	2	No	en-us	Albania
Extra Small	Android	search_traffic	1	No	en-gb	Nepal
Extra Small	Android	search_traffic	2	No	en-us	India
Extra Small	iOS	search_traffic	2	No	en-us	India
Extra Small	Android	direct_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-us	Canada
Extra Large	Mac OS X	search_traffic	1	No	en-us	United States
Extra Large	Mac OS X	direct_traffic	1	No	en-us	United States
Extra Large	Mac OS X	search_traffic	2	No	en-us	India
Extra Large	Windows New	unknown	1	No	en-us	Bahamas
Extra Small	iOS	unknown	2	No	en-us	United States
Extra Large	Windows New	search_traffic	2	No	en-us	United States
Extra Small	Android	search_traffic	1	No	en-in	India
